prix,Kilométrage,Mise en circulation,Énergie,Boite vitesse,Puissance fiscale,Transmission,Carrosserie,Date de l'annonce,Gouvernorat,Marque,Modèle,Couleur extérieure,Couleur intérieure,Sellerie,Nombre de places,Nombre de portes,Cylindrée,ABS,Airbags frontaux,Airbags latéraux,Airbags rideaux,Alarme anti-intrusion,Anti-démarrage électronique,Anti-patinage,Contrôle de pression des pneus,Fixations ISOFIX,Pneumatiques runflat,Radiateur tropicalisé,Caméra de recul,Caméras 360,Coffre électrique,Jantes en alliage,Radar de recul,Peinture métallisée,Feux à LED,Phares au xénon,Phares Full LED,Antibrouillards,Lave Phares,Toit ouvrant,Toit panoramique,Vitres teintées,Accoudoir avant,Accoudoir arrière,Affichage tête haute,Autoradio,Autoradio CD,Autoradio CD/Mp3,Apple Carplay,Android Auto,Bluetooth,Boîte à gants réfrigérée,Chargeur CD,"Connectivité Aux, usb, iPod",Navigation,Palettes au volant,Sièges sport,Sièges chauffants,Sièges massants,Sièges ventilés,Sièges réglables en hauteur,Sièges électriques,Vitres teintées,Volant/levier de vitesse en cuir,Volant multi-fonctions,3 appuis têtes arrières,Volant réglable hauteur/profondeur,Volant chauffant,Instrumentation numérique,Allumage automatique des feux,Accès sans clé,Bouton Start & Stop,Climatisation,Climatisation automatique,Direction assistée,Détecteur de pluie,Fermeture centralisée,Ordinateur de bord,Régulateur de vitesse,Conduite semi-autonome,Rétroviseurs électriques,Rétroviseurs rabattables,Vitres électriques,Suspension pneumatique,Parkassist
29 500,114 550km,01.2014,Essence,Manuelle,5cv,Traction,Citadine,16.12.2024,Ariana,Citroën,C3,Autre,Noir,Tissu,5,5,1200cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50 000,3 500km,12.2023,Essence,Manuelle,5cv,Traction,Berline,16.12.2024,Nabeul,Suzuki,Dzire,Gris argent,Noir,Tissu,5,4,1197cm³,NA,NA,NA,NA,NA,NA,true,NA,NA,NA,NA,true,NA,NA,NA,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,NA,NA,NA,true,true,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,NA,NA,NA,NA,NA,true,true,NA,true,true,NA,true,true,true,NA,true,NA,true,NA,NA
92 000,22 000km,06.2020,Hybride essence,Automatique,5cv,Intégrale,SUV/4x4,16.12.2024,Ben Arous,Hyundai,Kona Electric,Autre,Noir,Cuir intégral,5,5,1600cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34 000,46 000km,11.2020,Essence,Manuelle,5cv,Traction,SUV/4x4,16.12.2024,Ariana,Mahindra,KUV 100,Blanc,Noir,Tissu,5,4,1198cm³,true,true,NA,NA,NA,true,true,NA,NA,NA,NA,NA,NA,NA,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,NA,true,NA,true,true,NA,NA,true,true,true,NA,NA
67 000,44 000km,12.2022,Essence,Manuelle,7cv,Traction,SUV/4x4,16.12.2024,Ben Arous,Ford,Ecosport,Gris anthracite,Noir,Similicuir,5,4,1000cm³,true,true,true,true,NA,true,true,true,true,NA,NA,NA,NA,NA,NA,true,true,true,true,true,true,NA,NA,NA,NA,true,NA,true,true,NA,NA,true,true,true,NA,NA,true,true,NA,NA,NA,NA,NA,true,NA,NA,true,true,true,true,NA,NA,true,true,true,NA,true,true,true,true,true,true,NA,NA,true,true,NA,NA
95 000,145 000km,11.2020,Essence,Manuelle,7cv,Traction,SUV/4x4,16.12.2024,Mahdia,Peugeot,5008,Gris argent,Noir,Tissu,7,5,1200cm³,true,true,true,true,true,true,true,true,true,true,true,NA,NA,NA,true,true,true,true,NA,NA,true,true,NA,NA,NA,true,true,true,true,true,true,NA,NA,true,NA,NA,true,true,true,true,NA,NA,NA,true,NA,NA,true,true,true,true,NA,true,true,NA,NA,true,true,true,true,true,true,true,NA,true,true,true,true,true
41 000,167 000km,04.2018,Essence,Automatique,5cv,Traction,Citadine,16.12.2024,Nabeul,KIA,Picanto,Blanc,Beige,Cuir intégral,5,4,1248cm³,true,true,NA,NA,NA,NA,true,true,true,NA,NA,NA,NA,NA,NA,true,NA,true,NA,NA,true,NA,NA,NA,NA,true,NA,NA,true,NA,NA,NA,NA,true,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,true,NA,NA,true,true,true,true,NA,true,NA,true,NA,NA,NA,true,true,true,NA,NA
42 000,110 000km,10.2019,Essence,Manuelle,6cv,Traction,SUV/4x4,16.12.2024,Ariana,Chery,Tiggo 2,Noir,Noir,Similicuir,5,5,1499cm³,true,true,true,NA,true,NA,NA,NA,true,NA,NA,true,NA,NA,true,true,NA,true,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,true,true,NA,true,NA,NA,NA,true,NA,true,NA,true,true,true,NA,true,NA,true,NA,NA
87 000,23 500km,10.2022,Essence,Automatique,8cv,Traction,Berline,16.12.2024,Ben Arous,Volkswagen,Passat,Noir,Gris,Cuir partiel,5,5,1400cm³,true,true,NA,NA,true,true,true,true,true,NA,true,true,NA,NA,true,true,true,true,NA,NA,true,NA,true,true,true,true,true,NA,true,NA,NA,NA,NA,true,NA,NA,NA,true,NA,true,NA,NA,NA,NA,NA,true,true,true,true,true,NA,NA,true,NA,true,true,true,true,true,true,true,NA,NA,true,NA,true,NA,NA
85 500,60 000km,11.2021,Essence,Automatique,9cv,Intégrale,SUV/4x4,16.12.2024,Ariana,Haval,Jolion,Noir,Noir,Cuir intégral,5,5,1449cm³,true,true,true,true,true,true,true,true,true,NA,NA,true,true,NA,true,true,true,true,true,true,NA,NA,true,true,true,true,true,NA,NA,NA,NA,true,true,true,NA,NA,true,true,true,NA,true,NA,NA,true,true,true,true,true,true,true,NA,true,true,true,true,NA,true,true,true,true,true,true,NA,true,true,true,NA,NA
